Month bomb,Month temp,Month Drone,Date temp,Year temp,Country,Date Bomb,Year Bomb,Blast Day Type,Holiday Type,Time,City,Province,Location Category,Location Sensitivity,Open/Closed Space,Target Type,Targeted Sect if any,Explosive Weight (max),Date,Year Drone,Province-1,S#,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,S#-1,No of Strike,Total Died Max,Longitude,Latitude,Temperature(C)-1,AverageTemperature,AverageTemperatureUncertainty
2,2,2,01/02/2010,2010,Pakistan,20/02/2010,2010,Working Day,,9:30:00 AM,Mansehra,KPK,Police,High,Open,Police,None,5Kg,18/02/2010,2010,FATA,246,,1,4,10,2,111,1,4,70.1455,32.9746,5.18,13.167,0.203
10,10,10,01/05/2010,2010,Pakistan,01/05/2010,2010,Holiday,Labour Day,NA,Swat,KPK,Market,Low,Open,Civilian,None,15 kg,11/05/2010,2010,FATA,524,6,14,18,32,2,261,2,29,140.291,65.9492,37.96,58.376,0.366
12,12,12,01/12/2009,2009,Pakistan,01/12/2009,2009,Working Day,,NA,Swat,KPK,Residence,Medium,Closed,Government Official,None,10 Kg,17/12/2009,2009,FATA,223,1,2,11,30,1,92,1,2,70.1455,32.9746,3.53,11.959,0.179
10,10,10,01/10/2008,2008,Pakistan,16/10/2008,2008,Working Day,,NA,Swat,KPK,Police,High,Closed,Police,None,NA,26/10/2008,2008,FATA,128,,4,,27,1,34,1,20,69.9,33.0333,15.24,23.498,0.211
3,3,3,01/03/2010,2010,Pakistan,29/03/2010,2010,Working Day,,,Tank,KPK,Government/Office Building,Medium,Closed,Anti-Militants,Sunni,NA,23/03/2010,2010,FATA,253,,2,,2,1,120,1,6,70.1455,32.9746,16.27,21.344,0.365
2,2,2,01/02/2010,2010,Pakistan,22/02/2010,2010,Working Day,,4:20:00 AM,Swat,KPK,Mobile,High,Open,Military,None,NA,17/02/2010,2010,FATA,247,7,13,37,41,1,110,1,4,70.1455,32.9746,0.68,13.167,0.203
12,12,12,01/12/2009,2009,Pakistan,24/12/2009,2009,Working Day,,11.57 am,Peshawar,KPK,Police,High,Open,Government Official,None,10 Kg,31/12/2009,2009,FATA,233,4,5,24,25,1,96,2,4,70.1455,32.9746,5.87,11.959,0.179
1,1,1,01/01/2010,2010,Pakistan,01/01/2010,2010,Working Day,,5:00:00 PM,Lakki marwat,KPK,Park/Ground,Medium,Open,Civilian,None,250 kg,01/01/2010,2010,FATA,236,88,100,37,100,1,97,2,2,70.1455,32.9746,4.855,10.956,0.356
1,1,1,01/01/2010,2010,Pakistan,08/01/2010,2010,Working Day,,,Khyber Agency,KPK,Religious,low,Open,Religious,None,NA,09/01/2010,2010,FATA,238,,8,,11,1,101,1,4,70.1455,32.9746,3.58,10.956,0.356
12,12,12,01/12/2010,2010,Pakistan,25/12/2010,2010,Holiday,Christmas/ birthday of Quaid-e-Azam,NA,Bajaur Agency,FATA,Foreign,High,Closed,Police,None,NA,27/12/2010,2010,FATA,291,42,47,80,105,1,203,6,25,70.1455,32.9746,3.085,10.46,0.236
9,9,9,01/09/2009,2009,Pakistan,19/09/2009,2009,Working Day,,Saturday Evening,Dara Adam Khel,KPK,Police,High,Open,Police,None,NA,24/09/2009,2009,FATA,199,,2,,1,1,80,1,12,69.9,33.0333,24.19,27.295,0.167
2,2,2,01/02/2009,2009,Pakistan,05/02/2009,2009,Working Day,,6.35 pm,D.G Khan,Punjab,Religious,Medium,Open,Religious,Shiite,NA,14/02/2009,2009,FATA,149,30,32,48,55,1,50,1,35,69.9,33.0333,3.055,14.072,0.268
4,4,4,01/02/2011,2011,Pakistan,10/02/2011,2011,Working Day,,8:00 AM/8:15:00 AM,Mardan,KPK,Military,High,Open,Military,None,9Kg,21/02/2011,2011,FATA,594,56,72,70,100,2,433,2,17,140.0455,66.0079,3.265,24.756,0.304
4,4,4,01/04/2010,2010,Pakistan,17/04/2010,2010,Working Day,,12:00:00 PM/11:55 AM,Kohat,KPK,Park/Ground,Low,Open,Civilian,None,12 Kg,12/04/2010,2010,FATA,258,41,44,60,70,2,123,1,10,70.1455,32.9746,17.72,25.855,0.218
10,10,10,01/10/2008,2008,Pakistan,06/10/2008,2008,Working Day,,4:45:00 PM,Bhakkar,Punjab,Residence,Medium,Closed,Government Official,None,NA,01/10/2008,2008,FATA,124,22,26,60,100,1,28,1,6,70.1455,32.9746,24.64,23.498,0.211
4,4,4,01/04/2010,2010,Pakistan,17/04/2010,2010,Working Day,,12:00:00 PM/11:55 AM,Kohat,KPK,Park/Ground,Low,Open,Civilian,None,12 Kg,14/04/2010,2010,FATA,258,41,44,60,70,2,124,1,5,70.1455,32.9746,18.55,25.855,0.218
3,3,3,01/03/2011,2011,Pakistan,01/03/2011,2011,Working Day,,Night,Karachi,Sindh,Park/Ground,Low,Open,civilian,None,,16/03/2011,2011,FATA,301,,0,,0,1,227,1,6,70.1455,32.9746,15.56,18.579,0.211
9,9,9,01/09/2008,2008,Pakistan,20/09/2008,2008,Working Day,,NA,North waziristan,KPK,Mobile,High,Open,Military,None,NA,12/09/2008,2008,FATA,119,7,17,5,20,1,26,1,14,70.1455,32.9746,25.485,26.585,0.241
9,9,9,01/09/2008,2008,Pakistan,24/09/2008,2008,Working Day,,NA,Quetta,Baluchistan,Military,High,Open,Military,None,8 Kg,17/09/2008,2008,FATA,122,1,14,22,25,1,27,1,7,69.9,33.0333,22.615,26.585,0.241
4,4,4,01/02/2011,2011,Pakistan,10/02/2011,2011,Working Day,,8:00 AM/8:15:00 AM,Mardan,KPK,Military,High,Open,Military,None,9Kg,24/02/2011,2011,FATA,594,56,72,70,100,2,437,6,7,140.291,65.9492,6.65,24.756,0.304
2,2,2,01/02/2010,2010,Pakistan,27/02/2010,2010,Holiday,Eid Milad un-Nabi,NA,Karak,KPK,Police,High,Open,Police,None,250Kg,17/02/2010,2010,FATA,248,,4,23,24,2,110,1,4,70.1455,32.9746,0.68,13.167,0.203
5,5,5,01/05/2009,2009,Pakistan,28/05/2009,2009,Working Day,,5:40pm,Peshawar,KPK,Police,High,Open,Police,None,5kg,12/05/2009,2009,FATA,172,3,5,3,9,1,63,1,10,69.9,33.0333,22.4,28.991,0.189
2,2,2,01/02/2010,2010,Pakistan,11/02/2010,2010,Working Day,,Maghrib prayers,Bannu,KPK,Police,High,Open,Police,None,NA,14/02/2010,2010,FATA,244,,15,25,30,2,108,1,7,70.1455,32.9746,3.185,13.167,0.203
10,10,10,01/10/2009,2009,Pakistan,23/10/2009,2009,Working Day,,7.10 am,Attock,Punjab,Military,High,Open,Military,None,NA,24/10/2009,2009,FATA,211,8,9,13,17,1,86,1,27,71.5,34.6833,19.145,22.055,0.179
12,12,12,01/12/2008,2008,Pakistan,03/12/2008,2008,Working Day,,NA,Charsadda,KPK,Mobile,High,Open,Military,None,NA,15/12/2008,2008,FATA,142,5,6,8,10,1,44,1,2,70.1455,32.9746,7.655,12.283,0.177
9,9,9,01/09/2009,2009,Pakistan,26/09/2009,2009,Working Day,,11.35 am,Peshawar,KPK,Bank,Low,Open,Civilian,None,100 Kg,08/09/2009,2009,FATA,202,10,14,50,120,1,77,1,8,69.9,33.0333,21.295,27.295,0.167
1,1,1,01/01/2009,2009,Pakistan,23/01/2009,2009,Working Day,,,Swat,KPK,Military,High,open,Military,,,23/01/2009,2009,FATA,148,,2,11,25,1,49,1,22,70.1455,32.9746,9.365,10.513,0.164
6,6,6,01/03/2010,2010,Pakistan,29/03/2010,2010,Working Day,,,Bajaur Agency,FATA,Mobile,Low,Open,Anti-Militants,Sunni,NA,16/03/2010,2010,FATA,508,,4,10,16,2,231,2,17,140.291,65.9492,30.6,42.688,0.73
2,2,2,01/02/2010,2010,Pakistan,10/02/2010,2010,Working Day,,NA,Khyber Agency,KPK,Mobile,High,Open,Military,None,NA,18/02/2010,2010,FATA,243,17,22,6,11,1,111,1,4,70.1455,32.9746,5.18,13.167,0.203
3,3,3,01/03/2009,2009,Pakistan,27/03/2009,2009,Working Day,,NA,Khyber Agency,FATA,Religious,Medium,Closed,Religious,Sunni,NA,15/03/2009,2009,KPK,161,70,76,100,175,1,54,1,5,70.6042,32.9861,18.315,18.871,0.199
2,2,2,01/02/2010,2010,Pakistan,22/02/2010,2010,Working Day,,4:20:00 AM,Swat,KPK,Mobile,High,Open,Military,None,NA,02/02/2010,2010,FATA,247,7,13,37,41,1,107,1,17,70.1455,32.9746,1.06,13.167,0.203
8,8,8,01/08/2008,2008,Pakistan,29/08/2008,2008,Working Day,,7:00:00 AM,Kohat,KPK,Military,High,Closed,Military,None,NA,13/08/2008,2008,FATA,116,2,5,25,39,1,18,1,20,69.9,33.0333,26.855,28.229,0.258
9,9,9,01/09/2008,2008,Pakistan,06/09/2008,2008,Working Day,,NA,Peshawar,KPK,Police,High,Open,Police,None,150Kg,12/09/2008,2008,FATA,117,30,35,70,90,1,26,1,14,70.1455,32.9746,25.485,26.585,0.241
3,3,3,01/03/2010,2010,Pakistan,12/03/2010,2010,Working Day,,12:45:00 PM,Lahore,Punjab,Military,High,Open,Military,Sunni,12 kg,10/03/2010,2010,FATA,251,43,57,90,100,2,114,1,14,70.1455,32.9746,12.135,21.344,0.365
10,10,10,01/10/2008,2008,Pakistan,26/10/2008,2008,Holiday,Weekend,9:45:00 PM,Mohmand Agency,FATA,Military,High,Open,Military,None,NA,01/10/2008,2008,FATA,129,11,10,,5,1,28,1,6,70.1455,32.9746,24.64,23.498,0.211
11,11,11,01/11/2010,2010,Pakistan,05/11/2010,2010,Working Day,,1:30:00 PM,Dara Adam khel,KPK,Religious,Medium,Closed,Religious,Sunni,15Kg,16/11/2010,2010,FATA,280,61,76,70,132,1,192,1,20,70.1455,32.9746,9.64,16.519,0.096
9,9,9,01/09/2008,2008,Pakistan,06/09/2008,2008,Working Day,,NA,Peshawar,KPK,Police,High,Open,Police,None,150Kg,17/09/2008,2008,FATA,117,30,35,70,90,1,27,1,7,69.9,33.0333,22.615,26.585,0.241
5,5,5,01/05/2011,2011,Pakistan,25/05/2011,2011,Working Day,,4:40 AM,Peshawar,KPK,Police,High,Closed,Police,None,300kg,06/05/2011,2011,FATA,314,8,11,41,48,1,231,1,18,70.1455,32.9746,19.87,29.616,0.195
10,10,10,01/10/2008,2008,Pakistan,03/10/2008,2008,Holiday,Eid-ul-Fitar,4:00:00 PM,Peshawar,KPK,Residence,Medium,Closed,Government Official,None,NA,16/10/2008,2008,FATA,123,4,5,,18,1,32,1,7,69.9,33.0333,15.875,23.498,0.211
1,1,1,01/01/2009,2009,Pakistan,04/01/2009,2009,Holiday,Weekend,,Bannu,KPK,Police,High,open,Police,,,02/01/2009,2009,FATA,147,,1,,2,1,48,2,4,69.9,33.0333,6.505,10.513,0.164
10,10,10,01/10/2010,2010,Pakistan,18/10/2010,2010,Working Day,,NA,Lakki marwat,KPK,Park/Ground,Low,Open,civilian,None,1200Kg,07/10/2010,2010,FATA,278,,,5,14,1,176,1,4,70.1455,32.9746,18.955,23.43,0.249
12,12,12,01/06/2011,2011,Pakistan,13/06/2011,2011,Working Day,,3:00 PM,Islamabad,Capital,Bank,Low,Open,Civilian,None,7kg,27/06/2011,2011,FATA,638,2,4,8,12,2,497,2,22,140.0455,66.0079,53.91,62.456,0.62
10,10,10,01/10/2010,2010,Pakistan,07/10/2010,2010,Working Day,,6:45:00 PM,Karachi,Sindh,Religious,Medium,Closed,Religious,Sunni,6 kg,18/10/2010,2010,FATA,277,6,10,60,77,2,182,1,7,70.1455,32.9746,18.81,23.43,0.249
10,10,10,01/10/2008,2008,Pakistan,16/10/2008,2008,Working Day,,NA,Swat,KPK,Police,High,Closed,Police,None,NA,09/10/2008,2008,FATA,128,,4,,27,1,30,1,9,70.1455,32.9746,19.255,23.498,0.211
10,10,10,01/05/2011,2011,Pakistan,28/05/2011,2011,Working Day,,10:00 AM,Bajaur Agency,FATA,Market,Low,Open,Anti-Militants,Sunni,,16/05/2011,2011,FATA,632,,16,,22,2,471,2,10,140.291,65.9492,48.66,59.232,0.39
2,2,2,01/02/2008,2008,Pakistan,04/02/2008,2008,Working Day,,7:24:00 AM/7:25AM/7:30 AM,Rawalpindi,Punjab,Mobile,High,Open,Military,None,6-7kg,28/02/2008,2008,FATA,90,8,10,27,47,1,12,1,13,69.9,33.0333,15.575,10.867,0.129
11,11,11,01/11/2009,2009,Pakistan,08/11/2009,2009,Holiday,Weekend,9.30 AM,Peshawar,KPK,Market,Low,Open,Government Official,None,10 Kg,05/11/2009,2009,FATA,215,12,19,35,45,1,87,1,6,70.1455,32.9746,14.735,16.174,0.304
10,10,10,01/10/2009,2009,Pakistan,12/10/2009,2009,Working Day,,1:00 PM,Shangla,KPK,Mobile,High,Open,Military,None,NA,21/10/2009,2009,FATA,206,,41,45,50,1,85,1,5,70.1455,32.9746,11.66,22.055,0.179
2,2,2,01/01/2012,2012,Pakistan,14/01/2012,2012,Working Day,,2:00 PM,D.I Khan,KPK,Police,High,Open,Police,None,NA,10/01/2012,2012,FATA,680,8,16,14,20,6,553,2,8,140.291,65.9492,0.61,17.108,0.354
12,12,12,01/12/2010,2010,Pakistan,08/12/2010,2010,Working Day,,1:00:00 PM,Kohat,KPK,Transport,Low,Open,Civilian,None,10 kg,10/12/2010,2010,FATA,287,18,20,,32,1,199,1,4,70.1455,32.9746,6.135,10.46,0.236
11,11,11,01/11/2010,2010,Pakistan,01/11/2010,2010,Working Day,,8:45:00 AM,Swabi,KPK,Police,High,Open,Police,None,12 kg,03/11/2010,2010,FATA,279,2,5,10,13,1,187,1,18,70.1455,32.9746,14.475,16.519,0.096
4,4,4,01/02/2012,2012,Pakistan,17/02/2012,2012,Working Day,,2:00 PM,Kuram Agency,FATA,Market,Low,Open,Civilian,Shiite,NA,16/02/2012,2012,FATA,684,42,56,,72,2,573,2,20,140.291,65.9492,-3.34,20.624,0.328
11,11,11,01/11/2010,2010,Pakistan,30/11/2010,2010,Working Day,,8:45:00 AM,Bannu,KPK,Mobile,High,Open,Police,None,12 kg,13/11/2010,2010,FATA,284,2,6,6,22,1,191,1,5,70.1455,32.9746,9.645,16.519,0.096
11,11,11,01/11/2009,2009,Pakistan,16/11/2009,2009,Working Day,,NA,Peshawar,KPK,Police,High,Open,Police,None,250Kg,20/11/2009,2009,FATA,221,,3,,43,1,89,1,10,70.1455,32.9746,8.23,16.174,0.304
11,11,11,01/11/2009,2009,Pakistan,09/11/2009,2009,Holiday,Iqbal Day,9.45 AM,Peshawar,KPK,Police,High,Open,Police,None,7Kg,18/11/2009,2009,FATA,216,,3,5,7,1,88,1,5,70.1455,32.9746,5.025,16.174,0.304
2,2,2,01/02/2013,2013,Pakistan,01/02/2013,2013,Working Day,,Friday prayer time,Hangu,KPK,Religious,High,Open,Civilian,Sunni,,08/02/2013,2013,FATA,370,24,27,40,50,1,336,2,9,70.1455,32.9746,4.005,11.951,0.483
2,2,2,01/02/2012,2012,Pakistan,17/02/2012,2012,Working Day,,2:00 PM,Kuram Agency,FATA,Market,Low,Open,Civilian,Shiite,NA,09/02/2012,2012,FATA,342,21,28,,36,1,285,1,4,70.1455,32.9746,-1.61,10.312,0.164
11,11,11,01/11/2010,2010,Pakistan,30/11/2010,2010,Working Day,,8:45:00 AM,Bannu,KPK,Mobile,High,Open,Police,None,12 kg,22/11/2010,2010,FATA,284,2,6,6,22,1,195,1,6,70.1455,32.9746,8.435,16.519,0.096
12,12,12,01/12/2012,2012,Pakistan,04/12/2012,2012,Working Day,,,Peshawar,KPK,Police,High,Open,Police,None,600kg-800kg,09/12/2012,2012,FATA,366,,,6,10,1,327,4,4,70.1455,32.9746,6.555,11.541,0.208
12,12,12,01/12/2008,2008,Pakistan,05/12/2008,2008,Working Day,,12:30:00pm,Orakzai Agency,KPK,Market,Low,Open,Civilian,None,NA,15/12/2008,2008,FATA,143,6,10,8,15,1,44,1,2,70.1455,32.9746,7.655,12.283,0.177
1,1,1,01/01/2010,2010,Pakistan,16/01/2010,2010,Working Day,,10:00:00 AM/10:15 AM,Poonch,AJK,Mobile,High,Open,Police,None,600 kg,01/01/2010,2010,FATA,240,,1,1,2,1,97,2,2,70.1455,32.9746,4.855,10.956,0.356
1,1,1,01/01/2010,2010,Pakistan,16/01/2010,2010,Working Day,,10:00:00 AM/10:15 AM,Poonch,AJK,Mobile,High,Open,Police,None,600 kg,19/01/2010,2010,FATA,240,,1,1,2,1,105,1,6,70.1455,32.9746,6.12,10.956,0.356
1,1,1,01/01/2010,2010,Pakistan,23/01/2010,2010,Working Day,,NA,Tank,KPK,Police,High,Open,Police,None,NA,15/01/2010,2010,FATA,241,4,5,3,11,1,103,1,20,69.9,33.0333,5.63,10.956,0.356
12,12,12,01/12/2010,2010,Pakistan,24/12/2010,2010,Working Day,,NA,Peshawar,KPK,Police,High,Open,Civilian,None,10 kg,31/12/2010,2010,FATA,290,,4,,24,1,205,1,4,70.1455,32.9746,4.345,10.46,0.236
11,11,11,01/11/2008,2008,Pakistan,06/11/2008,2008,Working Day,,NA,Bajaur Agency,FATA,Park/Ground,Low,Open,Anti-Militants,Sunni,NA,14/11/2008,2008,FATA,135,16,23,31,45,1,38,1,13,70.1455,32.9746,8.815,16.505,0.205
5,5,5,01/05/2009,2009,Pakistan,05/05/2009,2009,Working Day,,MORNING,Peshawar,KPK,Military,High,Open,Military,None,85,12/05/2009,2009,FATA,168,7,11,25,48,1,63,1,10,69.9,33.0333,22.4,28.991,0.189
6,6,6,01/06/2011,2011,Pakistan,13/06/2011,2011,Working Day,,3:00 PM,Islamabad,Capital,Bank,Low,Open,Civilian,None,7kg,08/06/2011,2011,FATA,319,1,2,4,6,1,243,1,24,70.1455,32.9746,26.5,31.228,0.31
9,9,9,01/09/2008,2008,Pakistan,20/09/2008,2008,Working Day,,NA,North waziristan,KPK,Mobile,High,Open,Military,None,NA,05/09/2008,2008,FATA,119,7,17,5,20,1,24,3,10,70.1455,32.9746,22.645,26.585,0.241
10,10,10,01/10/2008,2008,Pakistan,10/10/2008,2008,Working Day,,NA,Orakzai Agency,FATA,Park/Ground,Low,Open,Anti-Militants,Sunni,8 ft deep crater,01/10/2008,2008,FATA,127,40,85,90,200,1,28,1,6,70.1455,32.9746,24.64,23.498,0.211
10,10,10,01/10/2010,2010,Pakistan,07/10/2010,2010,Working Day,,6:45:00 PM,Karachi,Sindh,Religious,Medium,Closed,Religious,Sunni,6 kg,28/10/2010,2010,FATA,277,6,10,60,77,2,185,1,7,70.1455,32.9746,13.355,23.43,0.249
2,2,2,01/02/2012,2012,Pakistan,24/02/2012,2012,Working Day,,,Peshawar,KPK,Police,High,Closed,Police,None,NA,08/02/2012,2012,FATA,344,0,4,,6,3,284,1,10,70.1455,32.9746,-3.585,10.312,0.164
3,3,3,01/03/2011,2011,Pakistan,09/03/2011,2011,Working Day,,,Peshawar,KPK,Park/Ground,Low,Open,Anti-Militants,Sunni,16Kg,14/03/2011,2011,FATA,303,37,43,,52,1,226,1,5,70.1455,32.9746,15.48,18.579,0.211
1,1,1,01/01/2010,2010,Pakistan,08/01/2010,2010,Working Day,,,peshawar,KPK,Police,High,Open,Police,None,NA,15/01/2010,2010,FATA,239,,0,,6,1,103,1,20,69.9,33.0333,5.63,10.956,0.356
1,1,1,01/01/2010,2010,Pakistan,06/01/2010,2010,Working Day,,6:50:00 AM,Sudhanoti,AJK,Military,High,Open,Military,None,NA,17/01/2010,2010,FATA,237,,4,11,12,1,104,1,20,69.9,33.0333,5.57,10.956,0.356
11,11,11,01/11/2010,2010,Pakistan,14/11/2010,2010,Holiday,Weekend,NA,South waziristan,FATA,Market,Low,Open,Anti-Militants,Sunni,NA,28/11/2010,2010,FATA,283,,1,,8,1,197,1,4,70.1455,32.9746,6.815,16.519,0.096
7,7,7,01/07/2009,2009,Pakistan,28/07/2009,2009,Working Day,,NA,North Waziristan,KPK,Police,High,Open,Police,None,NA,08/07/2009,2009,FATA,186,,2,3,5,1,70,1,60,69.9,33.0333,26.815,30.551,0.263
9,9,9,01/09/2010,2010,Pakistan,03/09/2010,2010,Working Day,,NA,Quetta,Baluchistan,Park/Ground,Low,Open,Civilian,None,15Kg,12/09/2010,2010,FATA,273,54,62,150,200,1,158,1,5,70.1455,32.9746,22.35,26.11,0.208
8,8,8,01/08/2010,2010,Pakistan,04/08/2010,2010,Working Day,,around 4:30 PM,Peshawar,KPK,Mobile,High,Open,Military,None,10Kg,21/08/2010,2010,FATA,270,3,4,11,14,1,147,1,6,70.1455,32.9746,27.45,28.342,0.185
3,3,3,01/03/2010,2010,Pakistan,29/03/2010,2010,Working Day,,,Bajaur Agency,FATA,Mobile,Low,Open,Anti-Militants,Sunni,NA,10/03/2010,2010,FATA,254,,2,5,8,1,114,1,14,70.1455,32.9746,12.135,21.344,0.365
1,1,1,01/01/2010,2010,Pakistan,08/01/2010,2010,Working Day,,,Khyber Agency,KPK,Religious,low,Open,Religious,None,NA,01/01/2010,2010,FATA,238,,8,,11,1,97,2,2,70.1455,32.9746,4.855,10.956,0.356
4,4,4,01/04/2009,2009,Pakistan,18/04/2009,2009,Working Day,,3pm/4.15 pm,Hangu,KPK,Police,High,Open,Police,None,100,08/04/2009,2009,FATA,167,21,27,26,65,1,59,1,4,69.9,33.0333,11.065,22.792,0.216
12,12,12,01/12/2007,2007,Pakistan,15/12/2007,2007,Working Day,,9:25:00 AM,Nowshehra,KPK,Military,High,Open,Military,None,NA,03/12/2007,2007,KPK,80,5,6,11,20,1,10,1,,70.6042,32.9861,13.79,10.806,0.181
1,1,1,01/01/2010,2010,Pakistan,08/01/2010,2010,Working Day,,,Khyber Agency,KPK,Religious,low,Open,Religious,None,NA,14/01/2010,2010,FATA,238,,8,,11,1,102,1,15,69.9,33.0333,3.43,10.956,0.356
7,7,7,01/07/2009,2009,Pakistan,02/07/2009,2009,Working Day,,4:30pm,Rawalpindi,Punjab,Mobile,High,Open,Government official,None,10Kg,17/07/2009,2009,FATA,184,,1,25,40,1,72,1,5,69.9,33.0333,26.62,30.551,0.263
12,12,12,01/12/2009,2009,Pakistan,24/12/2009,2009,Working Day,,10.18 pm,Islamabad,Capital,Religious,Medium,Open,Religious,Shiite,NA,10/12/2009,2009,FATA,234,,1,1,4,1,91,1,10,69.9,33.0333,3.005,11.959,0.179
11,11,11,01/11/2010,2010,Pakistan,14/11/2010,2010,Holiday,Weekend,NA,South waziristan,FATA,Market,Low,Open,Anti-Militants,Sunni,NA,03/11/2010,2010,FATA,283,,1,,8,1,187,1,18,70.1455,32.9746,14.475,16.519,0.096
3,3,3,01/03/2009,2009,Pakistan,02/03/2009,2009,Working Day,,NA,Pishin,Baluchistan,Educational,Low,Closed,Government Official,Sunni,NA,12/03/2009,2009,FATA,156,5,6,5,12,1,53,1,25,69.9667,33.8167,14.8,18.871,0.199
3,3,3,01/03/2009,2009,Pakistan,30/03/2009,2009,Working Day,,NA,North waziristan,FATA,Mobile,High,Open,Military,None,NA,01/03/2009,2009,FATA,162,,4,,9,1,52,2,12,69.9,33.0333,14.21,18.871,0.199
11,11,11,01/11/2010,2010,Pakistan,01/11/2010,2010,Working Day,,8:45:00 AM,Swabi,KPK,Police,High,Open,Police,None,12 kg,13/11/2010,2010,FATA,279,2,5,10,13,1,191,1,5,70.1455,32.9746,9.645,16.519,0.096
11,11,11,01/11/2009,2009,Pakistan,02/11/2009,2009,Working Day,,6:40 PM,Lahore,Punjab,Police,High,Open,Police,None,10Kg,05/11/2009,2009,FATA,214,,,10,25,1,87,1,6,70.1455,32.9746,14.735,16.174,0.304
4,4,4,01/04/2010,2010,Pakistan,28/04/2010,2010,Working Day,,4:05:00 AM,Peshawar,KPK,Police,High,Open,Police,None,300 kg,26/04/2010,2010,FATA,261,4,5,11,14,1,127,1,9,70.1455,32.9746,18.735,25.855,0.218
11,11,11,01/11/2010,2010,Pakistan,30/11/2010,2010,Working Day,,8:45:00 AM,Bannu,KPK,Mobile,High,Open,Police,None,12 kg,03/11/2010,2010,FATA,284,2,6,6,22,1,187,1,18,70.1455,32.9746,14.475,16.519,0.096
8,8,8,01/08/2009,2009,Pakistan,22/08/2009,2009,Working Day,,5:00 PM,Swat,KPK,Residence,Low,Closed,Police,None,NA,21/08/2009,2009,FATA,192,2,3,2,8,1,75,1,13,69.9,33.0333,23.805,29.891,0.208
6,6,6,01/03/2011,2011,Pakistan,01/03/2011,2011,Working Day,,Night,Karachi,Sindh,Park/Ground,Low,Open,civilian,None,,13/03/2011,2011,FATA,602,,0,,0,2,449,2,6,140.0455,66.0079,26.515,37.158,0.422
10,10,10,01/10/2008,2008,Pakistan,31/10/2008,2008,Working Day,,1:30:00 PM,Mardan,KPK,Police,High,Closed,Police,None,NA,01/10/2008,2008,FATA,131,9,10,21,25,1,28,1,6,70.1455,32.9746,24.64,23.498,0.211
10,10,10,01/10/2008,2008,Pakistan,26/10/2008,2008,Holiday,Weekend,9:45:00 PM,Mohmand Agency,FATA,Military,High,Open,Military,None,NA,16/10/2008,2008,FATA,129,11,10,,5,1,32,1,7,69.9,33.0333,15.875,23.498,0.211
7,7,7,01/07/2010,2010,Pakistan,18/07/2010,2010,Holiday,Weekend,NA,Sargodha,Punjab,Religious,Medium,Closed,Religious,Shiite,NA,24/07/2010,2010,FATA,268,3,4,9,26,1,142,1,18,69.9,33.0333,24.5,29.965,0.175
3,3,3,01/03/2012,2012,Pakistan,03/03/2012,2012,Holiday,Weekend,,Peshawar,KPK,Mobile,High,Open,Government Official,None,6kg,09/03/2012,2012,FATA,345,0,1,,6,1,290,3,13,69.9,33.0333,4.17,17.619,0.287
11,11,11,01/11/2008,2008,Pakistan,12/11/2008,2008,Working Day,,10:00:00 AM,Charsadda,KPK,Military,High,Closed,Military,None,NA,07/11/2008,2008,FATA,137,,7,10,12,1,37,4,16,70.1455,32.9746,16.685,16.505,0.205
2,2,2,01/02/2011,2011,Pakistan,11/02/2011,2011,Working Day,,,Mohmand Agency,Fata,Police,High,Open,Police,None,NA,20/02/2011,2011,FATA,298,,1,,3,1,215,1,6,69.9,33.0333,1.835,12.378,0.152
12,12,12,01/12/2010,2010,Pakistan,06/12/2010,2010,Working Day,,2:00:00 PM,Mohmand Agency,Fata,Government,High,Closed,Government Official,None,NA,10/12/2010,2010,FATA,285,40,50,60,100,2,199,1,4,70.1455,32.9746,6.135,10.46,0.236
11,11,11,01/11/2007,2007,Pakistan,09/11/2007,2007,Holiday,Iqbal Day,4:15:00 PM,Peshawar,KPK,Residence,Low,Closed,Government Official,None,5 to 6 Kg,02/11/2007,2007,FATA,73,3,4,2,5,1,9,1,10,70.1455,32.9746,15.325,17.667,0.246
1,1,1,01/01/2009,2009,Pakistan,04/01/2009,2009,Holiday,Weekend,7:30:00 PM,D.I Khan,KPK,Mobile,High,Open,Police,,10 kg,23/01/2009,2009,FATA,146,7,10,21,25,1,49,1,22,70.1455,32.9746,9.365,10.513,0.164
2,2,2,01/02/2013,2013,Pakistan,16/02/2013,2013,Working Day,Weekend,6:00pm,Quetta,Baluchistan,Market,Medium,Open,Civilian,Shiite,1000kg,06/02/2013,2013,FATA,373,64,84,180,200,1,335,4,5,70.1455,32.9746,2.08,11.951,0.483
10,10,10,01/10/2010,2010,Pakistan,07/10/2010,2010,Working Day,,6:45:00 PM,Karachi,Sindh,Religious,Medium,Closed,Religious,Sunni,6 kg,02/10/2010,2010,FATA,277,6,10,60,77,2,172,1,18,70.1455,32.9746,19.685,23.43,0.249
10,10,10,01/10/2008,2008,Pakistan,06/10/2008,2008,Working Day,,4:45:00 PM,Bhakkar,Punjab,Residence,Medium,Closed,Government Official,None,NA,26/10/2008,2008,FATA,124,22,26,60,100,1,34,1,20,69.9,33.0333,15.24,23.498,0.211
